name,role,seed,resample,support,balanced_accuracy
bimcv_resnet18_teacher_ct_s42,teacher,42,0,98,0.6230769230769231
bimcv_resnet18_teacher_ct_s42,teacher,42,1,104,0.8806818181818181
bimcv_resnet18_teacher_ct_s42,teacher,42,2,88,0.5817460317460317
bimcv_resnet18_teacher_ct_s42,teacher,42,3,88,0.7395833333333333
bimcv_resnet18_teacher_ct_s42,teacher,42,4,94,0.6590717299578059
bimcv_resnet18_teacher_ct_s42,teacher,42,5,81,0.6649816176470589
bimcv_resnet18_teacher_ct_s42,teacher,42,6,107,0.8712418300653595
bimcv_resnet18_teacher_ct_s42,teacher,42,7,58,0.6651785714285714
bimcv_resnet18_teacher_ct_s42,teacher,42,8,104,0.6309597523219814
bimcv_resnet18_teacher_ct_s42,teacher,42,9,90,0.7333333333333334
bimcv_resnet18_teacher_ct_s43,teacher,43,0,98,0.6660256410256411
bimcv_resnet18_teacher_ct_s43,teacher,43,1,104,0.75
bimcv_resnet18_teacher_ct_s43,teacher,43,2,88,0.7158730158730158
bimcv_resnet18_teacher_ct_s43,teacher,43,3,88,0.6458333333333333
bimcv_resnet18_teacher_ct_s43,teacher,43,4,94,0.630801687763713
bimcv_resnet18_teacher_ct_s43,teacher,43,5,81,0.6415441176470589
bimcv_resnet18_teacher_ct_s43,teacher,43,6,107,0.7434640522875817
bimcv_resnet18_teacher_ct_s43,teacher,43,7,58,0.6800595238095238
bimcv_resnet18_teacher_ct_s43,teacher,43,8,104,0.6126934984520124
bimcv_resnet18_teacher_ct_s43,teacher,43,9,90,0.6933333333333334
bimcv_resnet18_teacher_ct_s44,teacher,44,0,98,0.7993589743589744
bimcv_resnet18_teacher_ct_s44,teacher,44,1,104,0.6363636363636364
bimcv_resnet18_teacher_ct_s44,teacher,44,2,88,0.7246031746031746
bimcv_resnet18_teacher_ct_s44,teacher,44,3,88,0.7430555555555556
bimcv_resnet18_teacher_ct_s44,teacher,44,4,94,0.6130801687763714
bimcv_resnet18_teacher_ct_s44,teacher,44,5,81,0.6415441176470589
bimcv_resnet18_teacher_ct_s44,teacher,44,6,107,0.734640522875817
bimcv_resnet18_teacher_ct_s44,teacher,44,7,58,0.6651785714285714
bimcv_resnet18_teacher_ct_s44,teacher,44,8,104,0.7272445820433436
bimcv_resnet18_teacher_ct_s44,teacher,44,9,90,0.6333333333333333
bimcv_resnet18_teacher_ct_s45,teacher,45,0,98,0.7737179487179487
bimcv_resnet18_teacher_ct_s45,teacher,45,1,104,0.7840909090909092
bimcv_resnet18_teacher_ct_s45,teacher,45,2,88,0.7388888888888889
bimcv_resnet18_teacher_ct_s45,teacher,45,3,88,0.7777777777777778
bimcv_resnet18_teacher_ct_s45,teacher,45,4,94,0.6940928270042194
bimcv_resnet18_teacher_ct_s45,teacher,45,5,81,0.6847426470588236
bimcv_resnet18_teacher_ct_s45,teacher,45,6,107,0.7545751633986928
bimcv_resnet18_teacher_ct_s45,teacher,45,7,58,0.6651785714285714
bimcv_resnet18_teacher_ct_s45,teacher,45,8,104,0.730030959752322
bimcv_resnet18_teacher_ct_s45,teacher,45,9,90,0.7266666666666667
bimcv_resnet18_tier_b_full_at_kd_s42,tier_b_full_at_kd,42,0,98,0.691025641025641
bimcv_resnet18_tier_b_full_at_kd_s42,tier_b_full_at_kd,42,1,104,0.78125
bimcv_resnet18_tier_b_full_at_kd_s42,tier_b_full_at_kd,42,2,88,0.6277777777777778
bimcv_resnet18_tier_b_full_at_kd_s42,tier_b_full_at_kd,42,3,88,0.6076388888888888
bimcv_resnet18_tier_b_full_at_kd_s42,tier_b_full_at_kd,42,4,94,0.8210970464135021
bimcv_resnet18_tier_b_full_at_kd_s42,tier_b_full_at_kd,42,5,81,0.7026654411764706
bimcv_resnet18_tier_b_full_at_kd_s42,tier_b_full_at_kd,42,6,107,0.7823529411764706
bimcv_resnet18_tier_b_full_at_kd_s42,tier_b_full_at_kd,42,7,58,0.5699404761904762
bimcv_resnet18_tier_b_full_at_kd_s42,tier_b_full_at_kd,42,8,104,0.6891640866873066
bimcv_resnet18_tier_b_full_at_kd_s42,tier_b_full_at_kd,42,9,90,0.7266666666666667
bimcv_resnet18_tier_b_full_at_kd_s43,tier_b_full_at_kd,43,0,98,0.7230769230769231
