method,median,q1,q3,ci_lo,ci_hi,mean,std,n
late_fusion_resampled,1.0,0.5,1.0,0.6,0.9,0.8,0.25819888974716115,10
student_xray_cross_modal_attention_transfer_resampled,1.0,1.0,1.0,0.65,0.95,0.9,0.21081851067789198,10
student_xray_cross_modal_feature_hint_resampled,1.0,0.5,1.0,0.6,0.9,0.8,0.25819888974716115,10
student_xray_supervised_resampled,1.0,0.5,1.0,0.6,0.9,0.8,0.25819888974716115,10
student_xray_cross_modal_plain_distill_resampled,1.0,1.0,1.0,0.65,0.95,0.9,0.21081851067789198,10
student_xray_same_modality_distill_resampled,0.9583333333333335,0.5,1.0,0.6,0.9,0.7916666666666667,0.252304196174791,10
student_xray_cross_modal_distill_resampled,0.75,0.5,1.0,0.55,0.85,0.75,0.26352313834736496,10
student_xray_crd_resampled,0.5,0.5,0.875,0.5,0.75,0.65,0.24152294576982397,10
student_xray_dist_resampled,0.5,0.5,0.5,0.5,0.7,0.6,0.21081851067789198,10
student_xray_modality_hallucination_resampled,0.5,0.5,0.5,0.5,0.7,0.6,0.21081851067789198,10
student_xray_dkd_resampled,0.5,0.5,0.5,0.5,0.7,0.6,0.21081851067789198,10
