method,median,q1,q3,ci_lo,ci_hi,mean,std,n
late_fusion_resampled,1.0,0.46457489878542507,1.0,0.6209790209790209,0.9454545454545455,0.7851306588148693,0.27743313316460105,10
student_xray_cross_modal_attention_transfer_resampled,1.0,1.0,1.0,0.6741258741258741,1.0,0.8916083916083917,0.2285155190115819,10
student_xray_cross_modal_feature_hint_resampled,1.0,0.46842105263157896,1.0,0.6223318655081898,0.9454545454545455,0.7856434793276899,0.2767724827173553,10
student_xray_supervised_resampled,1.0,0.46457489878542507,1.0,0.6195804195804195,0.9454545454545455,0.7844313581155686,0.2783467197033908,10
student_xray_cross_modal_plain_distill_resampled,1.0,1.0,1.0,0.6741258741258741,1.0,0.8916083916083917,0.2285155190115819,10
student_xray_same_modality_distill_resampled,0.8939393939393939,0.46457489878542507,1.0,0.6007974481658691,0.9030303030303031,0.7632192369034474,0.26798311967394906,10
student_xray_cross_modal_distill_resampled,0.7368421052631579,0.4615384615384615,1.0,0.5676481413323519,0.8923076923076924,0.7305852042694148,0.2840359851580941,10
student_xray_modality_hallucination_resampled,0.4641025641025641,0.4615384615384615,0.4719298245614034,0.4627064163906268,0.7333139965221418,0.5700723837565943,0.2266626113784233,10
student_xray_dist_resampled,0.4641025641025641,0.4615384615384615,0.4719298245614034,0.4627064163906268,0.7333139965221418,0.5700723837565943,0.2266626113784233,10
student_xray_dkd_resampled,0.4641025641025641,0.4615384615384615,0.4719298245614034,0.4627064163906268,0.7333139965221418,0.5700723837565943,0.2266626113784233,10
student_xray_crd_resampled,0.4615384615384615,0.45629370629370625,0.868421052631579,0.5124033860875966,0.837062937062937,0.6221935958778064,0.2607715025692587,10
