method,median,q1,q3,ci_lo,ci_hi,mean,std,n
late_fusion_resampled,1.0,0.0,1.0,0.2,0.8,0.6,0.5163977794943223,10
student_xray_cross_modal_attention_transfer_resampled,1.0,1.0,1.0,0.3,0.9,0.8,0.42163702135578396,10
student_xray_cross_modal_feature_hint_resampled,1.0,0.0,1.0,0.2,0.8,0.6,0.5163977794943222,10
student_xray_supervised_resampled,1.0,0.0,1.0,0.2,0.8,0.6,0.5163977794943223,10
student_xray_cross_modal_plain_distill_resampled,1.0,1.0,1.0,0.3,0.9,0.8,0.42163702135578396,10
student_xray_same_modality_distill_resampled,0.8227486121839513,0.0,1.0,0.2,0.8,0.5645497224367902,0.4977173199977961,10
student_xray_cross_modal_distill_resampled,0.5,0.0,1.0,0.1,0.7,0.5,0.5270462766947299,10
student_xray_crd_resampled,0.0,0.0,0.75,0.0,0.5,0.3,0.48304589153964794,10
student_xray_dist_resampled,0.0,0.0,0.0,0.0,0.4,0.2,0.42163702135578396,10
student_xray_modality_hallucination_resampled,0.0,0.0,0.0,0.0,0.4,0.2,0.42163702135578396,10
student_xray_dkd_resampled,0.0,0.0,0.0,0.0,0.4,0.2,0.42163702135578396,10
