variant	method	tau	fold	seed	ba	specificity	roc_auc
3slice	contrastive	0.07	0	42	0.6413	0.5000	0.7495
3slice	contrastive	0.07	0	43	0.6663	0.5500	0.7152
3slice	contrastive	0.07	0	44	0.6383	0.5375	0.6978
3slice	contrastive	0.07	1	42	0.7258	0.7125	0.7677
3slice	contrastive	0.07	1	43	0.6698	0.6875	0.6954
3slice	contrastive	0.07	1	44	0.6883	0.6375	0.7231
3slice	contrastive	0.07	2	42	0.6208	0.6329	0.6857
3slice	contrastive	0.07	2	43	0.6580	0.6203	0.6797
3slice	contrastive	0.07	2	44	0.6662	0.5063	0.7111
3slice	contrastive	0.07	3	42	0.6231	0.5190	0.6191
3slice	contrastive	0.07	3	43	0.6577	0.8608	0.6335
3slice	contrastive	0.07	3	44	0.6067	0.5316	0.6249
3slice	contrastive	0.07	4	42	0.5348	0.5696	0.6197
3slice	contrastive	0.07	4	43	0.5055	0.3291	0.5725
3slice	contrastive	0.07	4	44	0.5081	0.3797	0.6087
3slice	contrastive	0.20	0	42	0.5823	0.5125	0.6065
3slice	contrastive	0.20	0	43	0.6201	0.6750	0.6750
3slice	contrastive	0.20	0	44	0.6386	0.6250	0.6783
3slice	contrastive	0.20	1	42	0.7380	0.6500	0.7791
3slice	contrastive	0.20	1	43	0.6106	0.6125	0.6438
3slice	contrastive	0.20	1	44	0.6946	0.6500	0.7215
3slice	contrastive	0.20	2	42	0.6299	0.6076	0.6764
3slice	contrastive	0.20	2	43	0.6425	0.6329	0.6577
3slice	contrastive	0.20	2	44	0.6706	0.6456	0.6390
3slice	contrastive	0.20	3	42	0.6413	0.8734	0.6502
3slice	contrastive	0.20	3	43	0.6283	0.6203	0.6375
3slice	contrastive	0.20	3	44	0.6447	0.6076	0.6732
3slice	contrastive	0.20	4	42	0.6056	0.6203	0.6041
3slice	contrastive	0.20	4	43	0.5334	0.4304	0.5616
3slice	contrastive	0.20	4	44	0.6093	0.5823	0.7066
mid	contrastive	0.07	0	42	0.6288	0.4750	0.7076
mid	contrastive	0.07	0	43	0.5921	0.6625	0.6266
mid	contrastive	0.07	0	44	0.6291	0.5625	0.6582
mid	contrastive	0.07	1	42	0.6913	0.6000	0.7302
mid	contrastive	0.07	1	43	0.6576	0.7500	0.6671
mid	contrastive	0.07	1	44	0.6326	0.7000	0.6677
mid	contrastive	0.07	2	42	0.5991	0.6329	0.6794
mid	contrastive	0.07	2	43	0.7105	0.5949	0.7166
mid	contrastive	0.07	2	44	0.6181	0.6709	0.6659
mid	contrastive	0.07	3	42	0.6413	0.8734	0.5967
mid	contrastive	0.07	3	43	0.5437	0.6329	0.6461
mid	contrastive	0.07	3	44	0.6522	0.5316	0.6611
mid	contrastive	0.07	4	42	0.5895	0.8608	0.6110
mid	contrastive	0.07	4	43	0.5069	0.4684	0.5644
mid	contrastive	0.07	4	44	0.5524	0.4684	0.5909
mid	contrastive	0.20	0	42	0.6258	0.5125	0.6793
mid	contrastive	0.20	0	43	0.6201	0.6750	0.7065
mid	contrastive	0.20	0	44	0.5296	0.5375	0.5989
mid	contrastive	0.20	1	42	0.7163	0.6500	0.7410
mid	contrastive	0.20	1	43	0.6603	0.6250	0.7117
mid	contrastive	0.20	1	44	0.6418	0.6750	0.6883
mid	contrastive	0.20	2	42	0.6263	0.5570	0.6571
mid	contrastive	0.20	2	43	0.5465	0.6582	0.6114
mid	contrastive	0.20	2	44	0.6580	0.6203	0.6406
mid	contrastive	0.20	3	42	0.6438	0.9241	0.7290
mid	contrastive	0.20	3	43	0.5941	0.5063	0.6738
mid	contrastive	0.20	3	44	0.6208	0.6962	0.6939
mid	contrastive	0.20	4	42	0.6093	0.5823	0.6358
mid	contrastive	0.20	4	43	0.6585	0.5443	0.7497
mid	contrastive	0.20	4	44	0.5420	0.2658	0.6703
3slice	supervised	-	0	42	0.6481	0.6875	0.6853
3slice	supervised	-	0	43	0.6353	0.5750	0.6940
3slice	supervised	-	0	44	0.6446	0.5500	0.6908
3slice	supervised	-	1	42	0.6361	0.8375	0.6834
3slice	supervised	-	1	43	0.6946	0.6500	0.7242
3slice	supervised	-	1	44	0.6636	0.6750	0.7383
3slice	supervised	-	2	42	0.6299	0.6076	0.6092
3slice	supervised	-	2	43	0.5355	0.8101	0.5878
3slice	supervised	-	2	44	0.6461	0.6835	0.6709
3slice	supervised	-	3	42	0.6752	0.7595	0.7020
3slice	supervised	-	3	43	0.6484	0.5696	0.6410
3slice	supervised	-	3	44	0.6395	0.5063	0.7549
3slice	supervised	-	4	42	0.5285	0.5570	0.6738
3slice	supervised	-	4	43	0.5978	0.4684	0.6565
3slice	supervised	-	4	44	0.5472	0.3671	0.6007
drr	supervised	-	0	42	0.6481	0.6875	0.6853
drr	supervised	-	0	43	0.6353	0.5750	0.6940
drr	supervised	-	0	44	0.6446	0.5500	0.6908
drr	supervised	-	1	42	0.6361	0.8375	0.6834
drr	supervised	-	1	43	0.6946	0.6500	0.7242
drr	supervised	-	1	44	0.6636	0.6750	0.7383
drr	supervised	-	2	42	0.6299	0.6076	0.6092
drr	supervised	-	2	43	0.5355	0.8101	0.5878
drr	supervised	-	2	44	0.6461	0.6835	0.6709
drr	supervised	-	3	42	0.6752	0.7595	0.7020
drr	supervised	-	3	43	0.6484	0.5696	0.6410
drr	supervised	-	3	44	0.6395	0.5063	0.7549
drr	supervised	-	4	42	0.5285	0.5570	0.6738
drr	supervised	-	4	43	0.5978	0.4684	0.6565
drr	supervised	-	4	44	0.5472	0.3671	0.6007
mid	supervised	-	0	42	0.6481	0.6875	0.6853
mid	supervised	-	0	43	0.6353	0.5750	0.6940
mid	supervised	-	0	44	0.6446	0.5500	0.6908
mid	supervised	-	1	42	0.6361	0.8375	0.6834
mid	supervised	-	1	43	0.6946	0.6500	0.7242
mid	supervised	-	1	44	0.6636	0.6750	0.7383
mid	supervised	-	2	42	0.6299	0.6076	0.6092
mid	supervised	-	2	43	0.5355	0.8101	0.5878
mid	supervised	-	2	44	0.6461	0.6835	0.6709
mid	supervised	-	3	42	0.6752	0.7595	0.7020
mid	supervised	-	3	43	0.6484	0.5696	0.6410
mid	supervised	-	3	44	0.6395	0.5063	0.7549
mid	supervised	-	4	42	0.5285	0.5570	0.6738
mid	supervised	-	4	43	0.5978	0.4684	0.6565
mid	supervised	-	4	44	0.5472	0.3671	0.6007
proj	supervised	-	0	42	0.6481	0.6875	0.6853
