variant	method	tau	lambda	fold	seed	ba	specificity	roc_auc
3slice	pseudolabel	0.70	0.50	0	42	0.6016	0.7250	0.6777
3slice	pseudolabel	0.70	0.50	0	43	0.6916	0.6875	0.7065
3slice	pseudolabel	0.70	0.50	0	44	0.6818	0.5375	0.7033
3slice	pseudolabel	0.70	0.50	1	42	0.6853	0.6750	0.7622
3slice	pseudolabel	0.70	0.50	1	43	0.6698	0.6875	0.7198
3slice	pseudolabel	0.70	0.50	1	44	0.7008	0.6625	0.7372
3slice	pseudolabel	0.70	0.50	2	42	0.6706	0.6456	0.6637
3slice	pseudolabel	0.70	0.50	2	43	0.6560	0.7468	0.7050
3slice	pseudolabel	0.70	0.50	2	44	0.7204	0.6582	0.7408
3slice	pseudolabel	0.70	0.50	3	42	0.7448	0.8987	0.7589
3slice	pseudolabel	0.70	0.50	3	43	0.5995	0.8354	0.6415
3slice	pseudolabel	0.70	0.50	3	44	0.5601	0.6203	0.5955
3slice	pseudolabel	0.70	0.50	4	42	0.5158	0.5316	0.5967
3slice	pseudolabel	0.70	0.50	4	43	0.6611	0.5949	0.7509
3slice	pseudolabel	0.70	0.50	4	44	0.5702	0.5949	0.6197
3slice	pseudolabel	0.70	1.00	0	42	0.6130	0.4000	0.7038
3slice	pseudolabel	0.70	1.00	0	43	0.6448	0.6375	0.7402
3slice	pseudolabel	0.70	1.00	0	44	0.6948	0.7375	0.7158
3slice	pseudolabel	0.70	1.00	1	42	0.6541	0.6125	0.7318
3slice	pseudolabel	0.70	1.00	1	43	0.6546	0.7875	0.7090
3slice	pseudolabel	0.70	1.00	1	44	0.7130	0.6000	0.7405
3slice	pseudolabel	0.70	1.00	2	42	0.5782	0.7215	0.6472
3slice	pseudolabel	0.70	1.00	2	43	0.6343	0.7468	0.6780
3slice	pseudolabel	0.70	1.00	2	44	0.6288	0.8228	0.6863
3slice	pseudolabel	0.70	1.00	3	42	0.6994	0.8987	0.7048
3slice	pseudolabel	0.70	1.00	3	43	0.6309	0.6709	0.6720
3slice	pseudolabel	0.70	1.00	3	44	0.6309	0.6709	0.6473
3slice	pseudolabel	0.70	1.00	4	42	0.6297	0.7595	0.6951
3slice	pseudolabel	0.70	1.00	4	43	0.5170	0.4430	0.6306
3slice	pseudolabel	0.70	1.00	4	44	0.5452	0.7722	0.5967
3slice	pseudolabel	0.80	0.50	0	42	0.6204	0.7625	0.6870
3slice	pseudolabel	0.80	0.50	0	43	0.6508	0.5625	0.7060
3slice	pseudolabel	0.80	0.50	0	44	0.5889	0.6125	0.6576
3slice	pseudolabel	0.80	0.50	1	42	0.7196	0.7000	0.7579
3slice	pseudolabel	0.80	0.50	1	43	0.6329	0.7875	0.6644
3slice	pseudolabel	0.80	0.50	1	44	0.6976	0.6125	0.7269
3slice	pseudolabel	0.80	0.50	2	42	0.6643	0.6329	0.7281
