run_name,experiment_group,seed,temperature,alpha,is_ablation,accuracy,balanced_accuracy,macro_f1,precision,recall,specificity,roc_auc,val_samples,display_name
late_fusion_paired_s42,late_fusion_paired,42,,,False,0.75,0.5,0.42857142857142855,0.75,1.0,0.0,0.6666666666666666,4,Late-fusion X-ray+CT
late_fusion_paired_s43,late_fusion_paired,43,,,False,0.75,0.5,0.42857142857142855,0.75,1.0,0.0,0.6666666666666666,4,Late-fusion X-ray+CT
late_fusion_paired_s44,late_fusion_paired,44,,,False,0.75,0.5,0.42857142857142855,0.75,1.0,0.0,0.6666666666666666,4,Late-fusion X-ray+CT
late_fusion_paired_s45,late_fusion_paired,45,,,False,0.75,0.5,0.42857142857142855,0.75,1.0,0.0,0.6666666666666666,4,Late-fusion X-ray+CT
student_xray_cross_modal_distill_nodfpn_s42,student_xray_cross_modal_distill_nodfpn,42,,,False,0.75,0.5,0.42857142857142855,0.75,1.0,0.0,0.0,4,Cross-modality distillation w/o DFPN
student_xray_cross_modal_distill_nodfpn_s43,student_xray_cross_modal_distill_nodfpn,43,,,False,0.75,0.5,0.42857142857142855,0.75,1.0,0.0,1.0,4,Cross-modality distillation w/o DFPN
student_xray_cross_modal_distill_nodfpn_s44,student_xray_cross_modal_distill_nodfpn,44,,,False,0.75,0.5,0.42857142857142855,0.75,1.0,0.0,1.0,4,Cross-modality distillation w/o DFPN
student_xray_cross_modal_distill_nodfpn_s45,student_xray_cross_modal_distill_nodfpn,45,,,False,0.75,0.5,0.42857142857142855,0.75,1.0,0.0,1.0,4,Cross-modality distillation w/o DFPN
student_xray_cross_modal_distill_nodpe_s42,student_xray_cross_modal_distill_nodpe,42,,,False,0.75,0.5,0.42857142857142855,0.75,1.0,0.0,1.0,4,Cross-modality distillation w/o DPE
student_xray_cross_modal_distill_nodpe_s43,student_xray_cross_modal_distill_nodpe,43,,,False,0.75,0.5,0.42857142857142855,0.75,1.0,0.0,1.0,4,Cross-modality distillation w/o DPE
student_xray_cross_modal_distill_nodpe_s44,student_xray_cross_modal_distill_nodpe,44,,,False,0.75,0.5,0.42857142857142855,0.75,1.0,0.0,1.0,4,Cross-modality distillation w/o DPE
student_xray_cross_modal_distill_nodpe_s45,student_xray_cross_modal_distill_nodpe,45,,,False,0.75,0.5,0.42857142857142855,0.75,1.0,0.0,1.0,4,Cross-modality distillation w/o DPE
student_xray_cross_modal_distill_nomhra_s42,student_xray_cross_modal_distill_nomhra,42,,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,Cross-modality distillation w/o MHRA
student_xray_cross_modal_distill_nomhra_s43,student_xray_cross_modal_distill_nomhra,43,,,False,0.75,0.5,0.42857142857142855,0.75,1.0,0.0,1.0,4,Cross-modality distillation w/o MHRA
