run_name,experiment_group,display_name,tier,split_index,accuracy,balanced_accuracy,macro_f1,precision,recall,mcc,specificity,pr_auc,brier,roc_auc
late_fusion_resampled_r01,late_fusion_resampled,Late-fusion X-ray+CT,Feasibility controls,1,0.8571428571428571,0.5,0.46153846153846156,0.8571428571428571,1.0,0.0,0.0,0.976190476190476,0.23318569362163544,0.8333333333333334
late_fusion_resampled_r02,late_fusion_resampled,Late-fusion X-ray+CT,Feasibility controls,2,0.8,0.5,0.4444444444444444,0.8,1.0,0.0,0.0,1.0,0.23629745841026306,1.0
late_fusion_resampled_r03,late_fusion_resampled,Late-fusion X-ray+CT,Feasibility controls,3,0.8333333333333334,0.5,0.45454545454545453,0.8333333333333334,1.0,0.0,0.0,0.81,0.23532645404338837,0.2
late_fusion_resampled_r04,late_fusion_resampled,Late-fusion X-ray+CT,Feasibility controls,4,0.9,0.5,0.47368421052631576,0.9,1.0,0.0,0.0,0.7856701940035273,0.23112276196479797,0.0
late_fusion_resampled_r05,late_fusion_resampled,Late-fusion X-ray+CT,Feasibility controls,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24496325850486755,1.0
late_fusion_resampled_r06,late_fusion_resampled,Late-fusion X-ray+CT,Feasibility controls,6,0.8333333333333334,0.5,0.45454545454545453,0.8333333333333334,1.0,0.0,0.0,1.0,0.23506607115268707,1.0
late_fusion_resampled_r07,late_fusion_resampled,Late-fusion X-ray+CT,Feasibility controls,7,0.8571428571428571,0.5,0.46153846153846156,0.8571428571428571,1.0,0.0,0.0,1.0,0.23351266980171204,1.0
late_fusion_resampled_r08,late_fusion_resampled,Late-fusion X-ray+CT,Feasibility controls,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24684707820415497,1.0
student_xray_cross_modal_attention_transfer_resampled_r01,student_xray_cross_modal_attention_transfer_resampled,Cross-modal attention transfer,Mechanism controls,1,0.8571428571428571,0.5,0.46153846153846156,0.8571428571428571,1.0,0.0,0.0,0.9150793650793649,0.23800607025623322,0.5
student_xray_cross_modal_attention_transfer_resampled_r02,student_xray_cross_modal_attention_transfer_resampled,Cross-modal attention transfer,Mechanism controls,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24785292148590088,1.0
student_xray_cross_modal_attention_transfer_resampled_r03,student_xray_cross_modal_attention_transfer_resampled,Cross-modal attention transfer,Mechanism controls,3,0.8333333333333334,0.5,0.45454545454545453,0.8333333333333334,1.0,0.0,0.0,0.9266666666666665,0.23615586757659912,0.6
