experiment_group,display_name,seed,accuracy,balanced_accuracy,macro_f1,recall,specificity,positive_prediction_rate,threshold
student_xray_supervised_paired,Student-only,42,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.1
student_xray_supervised_paired,Student-only,42,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.2
student_xray_supervised_paired,Student-only,42,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.3
student_xray_supervised_paired,Student-only,42,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.4
student_xray_supervised_paired,Student-only,42,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.5
student_xray_supervised_paired,Student-only,42,0.25,0.5,0.2,0.0,1.0,0.0,0.6
student_xray_supervised_paired,Student-only,42,0.25,0.5,0.2,0.0,1.0,0.0,0.7
student_xray_supervised_paired,Student-only,42,0.25,0.5,0.2,0.0,1.0,0.0,0.8
student_xray_supervised_paired,Student-only,42,0.25,0.5,0.2,0.0,1.0,0.0,0.9
student_xray_supervised_paired,Student-only,43,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.1
student_xray_supervised_paired,Student-only,43,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.2
student_xray_supervised_paired,Student-only,43,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.3
student_xray_supervised_paired,Student-only,43,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.4
student_xray_supervised_paired,Student-only,43,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.5
student_xray_supervised_paired,Student-only,43,0.25,0.5,0.2,0.0,1.0,0.0,0.6
student_xray_supervised_paired,Student-only,43,0.25,0.5,0.2,0.0,1.0,0.0,0.7
student_xray_supervised_paired,Student-only,43,0.25,0.5,0.2,0.0,1.0,0.0,0.8
student_xray_supervised_paired,Student-only,43,0.25,0.5,0.2,0.0,1.0,0.0,0.9
student_xray_supervised_paired,Student-only,44,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.1
student_xray_supervised_paired,Student-only,44,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.2
student_xray_supervised_paired,Student-only,44,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.3
student_xray_supervised_paired,Student-only,44,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.4
student_xray_supervised_paired,Student-only,44,1.0,1.0,1.0,1.0,1.0,0.75,0.5
student_xray_supervised_paired,Student-only,44,0.25,0.5,0.2,0.0,1.0,0.0,0.6
student_xray_supervised_paired,Student-only,44,0.25,0.5,0.2,0.0,1.0,0.0,0.7
student_xray_supervised_paired,Student-only,44,0.25,0.5,0.2,0.0,1.0,0.0,0.8
student_xray_supervised_paired,Student-only,44,0.25,0.5,0.2,0.0,1.0,0.0,0.9
student_xray_supervised_paired,Student-only,45,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.1
student_xray_supervised_paired,Student-only,45,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.2
student_xray_supervised_paired,Student-only,45,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.3
student_xray_supervised_paired,Student-only,45,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.4
student_xray_supervised_paired,Student-only,45,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.5
student_xray_supervised_paired,Student-only,45,0.25,0.5,0.2,0.0,1.0,0.0,0.6
student_xray_supervised_paired,Student-only,45,0.25,0.5,0.2,0.0,1.0,0.0,0.7
student_xray_supervised_paired,Student-only,45,0.25,0.5,0.2,0.0,1.0,0.0,0.8
student_xray_supervised_paired,Student-only,45,0.25,0.5,0.2,0.0,1.0,0.0,0.9
student_xray_supervised_paired_balanced,Student-only + balanced sampler,42,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.1
student_xray_supervised_paired_balanced,Student-only + balanced sampler,42,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.2
student_xray_supervised_paired_balanced,Student-only + balanced sampler,42,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.3
student_xray_supervised_paired_balanced,Student-only + balanced sampler,42,0.75,0.5,0.42857142857142855,1.0,0.0,1.0,0.4
student_xray_supervised_paired_balanced,Student-only + balanced sampler,42,0.25,0.5,0.2,0.0,1.0,0.0,0.5
